City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,22.32,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
1,Ushuaia,AR,53.26,clear sky,-54.8,-68.3,Albatross Hotel
2,Rikitea,PF,78.44,light rain,-23.1203,-134.9692,People ThankYou
3,Byron Bay,AU,71.87,overcast clouds,-28.65,153.6167,Backpackers Inn
4,Severo-Kurilsk,RU,28.98,light snow,50.6789,156.125,Kak Doma
6,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Laguna,US,67.66,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
8,Mitsamiouli,KM,81.41,light rain,-11.3847,43.2844,Foyer ADM
10,Oktyabrskoye,RU,30.34,snow,43.0645,44.7417,Prolesok Mini-hotel
12,Port Elizabeth,ZA,66.49,broken clouds,-33.918,25.5701,39 On Nile Guest House
13,Tucumcari,US,39.04,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
14,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
15,Bilma,NE,58.68,clear sky,18.6853,12.9164,Expeditions Ténére voyages
17,Bredasdorp,ZA,65.52,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
19,Lata,PT,50.05,overcast clouds,40.1629,-8.3327,Casa Maquia
23,Marawi,PH,63.64,overcast clouds,7.9986,124.2928,Derogongan Residence
24,Mataura,NZ,56.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
25,Morondava,MG,81.66,scattered clouds,-20.2833,44.2833,La Case Bambou
26,Broken Hill,AU,68.97,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
28,Samarai,PG,82.69,overcast clouds,-10.6167,150.6667,Nuli Sapi
29,Kodiak,US,36.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
30,Punta Arenas,CL,57.22,clear sky,-53.15,-70.9167,Hotel Hain
31,Hambantota,LK,73.49,clear sky,6.1241,81.1185,Bungalow 63
32,Cape Town,ZA,65.88,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
33,San Patricio,US,46.81,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
34,Chuy,UY,73.67,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
35,New Norfolk,AU,63.66,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
37,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
38,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
40,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
44,Vaini,TO,79.18,moderate rain,-21.2,-175.2,Keleti Beach Resort
46,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
47,Lebu,CL,61.5,clear sky,-37.6167,-73.65,Hostal Las Lilas
48,Hervey Bay,AU,77.04,broken clouds,-25.2986,152.8535,Shelly Bay Resort
49,Busselton,AU,69.13,clear sky,-33.65,115.3333,Observatory Guest House
50,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
51,Hobart,AU,64.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
52,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Butaritari,KI,82.51,light rain,3.0707,172.7902,Isles Sunset Lodge
56,Longyan,CN,44.37,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
57,Atuona,PF,78.76,light rain,-9.8,-139.0333,Villa Enata
58,Ponta Do Sol,PT,65.71,overcast clouds,32.6667,-17.1,Hotel do Campo
59,Camopi,GF,73.42,broken clouds,3.1655,-52.3158,La pousada
60,Hasaki,JP,36.0,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
61,Bar Harbor,US,21.97,light snow,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
62,Kharagauli,GE,30.56,snow,42.0214,43.1977,twincity
63,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
67,Hilo,US,80.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Port Lincoln,AU,66.83,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
69,Kavieng,PG,82.65,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
70,Lorengau,PG,82.09,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
72,Khandbari,NP,46.9,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
73,Turka,UA,31.8,overcast clouds,49.1541,23.0297,Мотель
74,Hermanus,ZA,63.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
75,Puerto Leguizamo,CO,84.42,overcast clouds,-0.1934,-74.7819,la casona de juancho
77,Kant,IN,48.25,clear sky,27.8,79.8,Haseeb Khan shatreng
78,Ancud,CL,66.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
80,Buala,SB,83.14,light rain,-8.145,159.5921,Maringe Lagoon Lodge
81,Kupang,ID,79.0,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
