City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,22.32,62,100,3.0,mist
1,Ushuaia,AR,-54.8,-68.3,53.26,54,0,17.27,clear sky
2,Rikitea,PF,-23.1203,-134.9692,78.44,71,12,7.72,light rain
3,Byron Bay,AU,-28.65,153.6167,71.87,64,99,21.41,overcast clouds
4,Severo-Kurilsk,RU,50.6789,156.125,28.98,94,100,6.17,light snow
5,Chokurdakh,RU,70.6333,147.9167,-31.23,100,51,2.39,broken clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,82,5.99,broken clouds
7,Laguna,US,38.421,-121.4238,67.66,41,0,1.99,clear sky
8,Mitsamiouli,KM,-11.3847,43.2844,81.41,82,95,12.97,light rain
9,Gdov,RU,58.7406,27.8122,18.91,85,90,17.9,overcast clouds
10,Oktyabrskoye,RU,43.0645,44.7417,30.34,100,100,11.18,snow
11,Albany,US,42.6001,-73.9662,22.68,87,100,6.49,snow
12,Port Elizabeth,ZA,-33.918,25.5701,66.49,77,75,2.3,broken clouds
13,Tucumcari,US,35.1717,-103.725,39.04,30,0,0.0,clear sky
14,Hithadhoo,MV,-0.6,73.0833,81.54,74,80,11.81,broken clouds
15,Bilma,NE,18.6853,12.9164,58.68,21,3,6.64,clear sky
16,Bitkine,TD,11.9801,18.2138,68.77,14,1,8.59,clear sky
17,Bredasdorp,ZA,-34.5322,20.0403,65.52,63,13,10.36,few clouds
18,Thompson,CA,55.7435,-97.8558,-9.24,59,20,8.05,few clouds
19,Lata,PT,40.1629,-8.3327,50.05,96,99,1.9,overcast clouds
20,Upernavik,GL,72.7868,-56.1549,-3.08,100,93,9.84,overcast clouds
21,Dagda,LV,56.0951,27.5372,18.1,91,91,11.48,overcast clouds
22,Qaanaaq,GL,77.484,-69.3632,-2.02,69,100,8.01,overcast clouds
23,Marawi,PH,7.9986,124.2928,63.64,93,100,1.95,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,56.48,68,93,2.68,overcast clouds
25,Morondava,MG,-20.2833,44.2833,81.66,70,44,11.16,scattered clouds
26,Broken Hill,AU,-31.95,141.4333,68.97,47,96,18.77,overcast clouds
27,Omsukchan,RU,62.5333,155.8,-19.93,76,5,7.78,clear sky
28,Samarai,PG,-10.6167,150.6667,82.69,77,85,8.68,overcast clouds
29,Kodiak,US,57.79,-152.4072,36.91,75,100,4.61,overcast clouds
30,Punta Arenas,CL,-53.15,-70.9167,57.22,62,0,8.05,clear sky
31,Hambantota,LK,6.1241,81.1185,73.49,83,7,6.93,clear sky
32,Cape Town,ZA,-33.9258,18.4232,65.88,63,0,5.99,clear sky
33,San Patricio,US,28.017,-97.5169,46.81,48,69,18.63,broken clouds
34,Chuy,UY,-33.6971,-53.4616,73.67,87,15,8.57,few clouds
35,New Norfolk,AU,-42.7826,147.0587,63.66,73,39,0.18,scattered clouds
36,Nikolskoye,RU,59.7035,30.7861,19.29,92,80,10.76,broken clouds
37,Boa Vista,BR,2.8197,-60.6733,87.78,48,40,10.36,scattered clouds
38,Avarua,CK,-21.2078,-159.775,84.25,70,20,17.27,few clouds
39,Saskylakh,RU,71.9167,114.0833,-6.32,99,100,5.64,light snow
40,Pisco,PE,-13.7,-76.2167,73.45,68,0,24.16,clear sky
41,Bokoro,TD,12.3807,17.0568,68.29,14,1,14.61,clear sky
42,Yar-Sale,RU,66.8333,70.8333,5.79,96,100,5.53,overcast clouds
43,Udachnyy,RU,66.4167,112.4,-30.66,100,72,3.69,broken clouds
44,Vaini,TO,-21.2,-175.2,79.18,86,100,22.08,moderate rain
45,Mehamn,NO,71.0357,27.8492,19.58,86,100,31.99,light snow
46,Saint-Georges,GD,12.0564,-61.7485,80.28,74,20,11.5,few clouds
47,Lebu,CL,-37.6167,-73.65,61.5,79,1,18.21,clear sky
